Country,Code,Price_1,Price_2,Price_3
INDE (Bombay, Calcutta),411,772.87,2405.98,3178.85
INDE (New Delhi),412,772.87,2330.32,3103.19
INDONESIE,415,772.87,2058.76,2831.63
IRAK (autres villes),420,772.87,4418.03,5190.90
IRAK (Erbil),421,772.87,3555.56,4328.43
IRAN,425,772.87,3829.90,4602.77
IRLANDE,430,772.87,2541.81,3314.68
ISLANDE,435,772.87,2250.24,3023.11
ISRAEL,440,772.87,2721.91,3494.78
ITALIE,445,772.87,2031.26,2804.13
JAMAIQUE,470,772.87,1814.60,2587.47
JAPON (autres villes),476,772.87,1770.35,2543.22
JAPON (Tokyo),475,772.87,2076.11,2848.98
JERUSALEM,441,772.87,2902.26,3675.13
JORDANIE,485,772.87,1558.24,2331.11
KAZAKHSTAN (autres villes),495,772.87,1732.57,2505.44
KAZAKHSTAN (Astana),496,772.87,1861.75,2634.62
KENYA,500,772.87,1630.29,2403.16
KIRGHIZSTAN,502,772.87,2317.87,3090.74
KOSOVO,981,772.87,1472.64,2245.51
KOWEIT,505,772.87,2317.03,3089.90
LAOS,520,772.87,1408.70,2181.57
LESOTHO,522,772.87,1594.05,2366.92
LETTONIE,523,772.87,1650.03,2422.90
LIBAN,525,772.87,3757.31,4530.18
LIBERIA,530,772.87,3243.00,4015.87
LIBYE,535,772.87,3414.60,4187.47
LITUANIE,538,772.87,1801.00,2573.87
LUXEMBOURG,540,772.87,2181.38,2954.25
MACAO,545,772.87,2454.39,3227.26
MACEDOINE,555,772.87,1295.22,2068.09
MADAGASCAR,560,772.87,1519.02,2291.89
MALAISIE,565,772.87,1141.17,1914.04
MALAWI,570,772.87,1275.85,2048.72
MALDIVES,573,772.87,2064.10,2836.97
MALI,575,772.87,3105.73,3878.60
MALTE,580,772.87,1426.81,2199.68
MAROC (Agadir),589,772.87,1160.41,1933.28
MAROC (autres villes),585,772.87,1160.41,1933.28
MAURICE,405,772.87,1006.42,1779.29
MAURITANIE,590,772.87,2436.51,3209.38
MEXIQUE (autres villes),601,772.87,2312.30,3085.17
MEXIQUE (Mexico),600,772.87,2312.30,3085.17
MOLDAVIE,606,772.87,2009.82,2782.69
MONACO,605,772.87,1630.24,2403.11
MONGOLIE,607,772.87,2527.36,3300.23
MONTENEGRO,985,772.87,1222.84,1995.71
MOZAMBIQUE,610,772.87,2089.69,2862.56
NAMIBIE,620,772.87,1554.09,2326.96
NEPAL,630,772.87,2668.24,3441.11
NICARAGUA,640,772.87,1670.45,2443.32
NIGER,645,772.87,2891.01,3663.88
NIGERIA (Autres villes),650,772.87,3035.01,3807.88
NIGERIA (Lagos),651,772.87,2807.30,3580.17
NORVEGE (autres villes),660,772.87,2217.63,2990.50
NORVEGE (Stavanger),662,772.87,2164.99,2937.86
NOUVELLE-ZELANDE,655,772.87,1802.56,2575.43
OMAN,670,772.87,1686.00,2458.87
OUGANDA,675,772.87,2270.92,3043.79
OUZBEKISTAN,680,772.87,1854.40,2627.27
PAKISTAN (autres villes),685,772.87,2281.99,3054.86
PAKISTAN (Karachi),686,772.87,2398.14,3171.01
PANAMA,690,772.87,1612.21,2385.08
PAPOUASIE-NOUVELLE-GUINEE,653,772.87,2886.61,3659.48
PARAGUAY,695,772.87,1293.62,2066.49
